Title,Body,Epic,Sprint,Priority,Labels,Component,Target Release,Story Points,Dependency,Status
Migrate services to TypeScript,"Address technical debt item: Migrate services to TypeScript.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Migrate hooks to TypeScript,"Address technical debt item: Migrate hooks to TypeScript.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add Supabase generated types,"Address technical debt item: Add Supabase generated types.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add Vitest setup,"Address technical debt item: Add Vitest setup.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add component tests for UI primitives,"Address technical debt item: Add component tests for UI primitives.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add service tests,"Address technical debt item: Add service tests.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add Playwright smoke tests,"Address technical debt item: Add Playwright smoke tests.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add accessibility audit workflow,"Address technical debt item: Add accessibility audit workflow.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add lint workflow,"Address technical debt item: Add lint workflow.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add formatter workflow,"Address technical debt item: Add formatter workflow.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Add import path aliases,"Address technical debt item: Add import path aliases.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Normalize API return shapes,"Address technical debt item: Normalize API return shapes.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Centralize date helpers,"Address technical debt item: Centralize date helpers.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Centralize currency helpers,"Address technical debt item: Centralize currency helpers.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Centralize toast usage,"Address technical debt item: Centralize toast usage.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Create modal manager RFC,"Address technical debt item: Create modal manager RFC.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Audit hardcoded strings,"Address technical debt item: Audit hardcoded strings.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Audit hardcoded colors,"Address technical debt item: Audit hardcoded colors.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Audit icon usage,"Address technical debt item: Audit icon usage.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Technical Debt,Backlog,P2,tech-debt,frontend,v1.0 MVP,3,,Backlog
Update root README for MVP,"Document update root readme for mvp.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Write local development guide,"Document write local development guide.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Write deployment guide,"Document write deployment guide.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Write Supabase setup guide,"Document write supabase setup guide.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Write RLS guide,"Document write rls guide.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Write contribution guide,"Document write contribution guide.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Create changelog process,"Document create changelog process.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Create release checklist,"Document create release checklist.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Document environment variables,"Document document environment variables.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
Document GitHub Pages deployment,"Document document github pages deployment.

Acceptance Criteria:
- [ ] Build passes
- [ ] Uses shared design system
- [ ] Handles loading and empty states",Documentation,Backlog,P2,documentation,frontend,v1.0 MVP,2,,Backlog
